3,American Classics,11th Street Diner,Miami Beach,Florida,11th-Street-Diner-Miami-Beach,4,Hightstown-Diner-Hightstown
3,American Classics,Bobo Drive-In,Topeka,Kansas,Bobo-Drive-In-Topeka,4,Skylark-Diner-Edison
3,American Classics,Little Tea Shop,Memphis,Tennessee,Little-Tea-Shop-Memphis,3.5,Jefferson-Diner-Lake-Hopatcong
3,Real Deal Fast Food,Panini Petes,Fairhope,Alabama,Panini-Petes-Fairhope,4.5,Brownstone-Diner-Jersey-City
3,Real Deal Fast Food,Joes Farm Grill,Gilbert,Arizona,Joes-Farm-Grill-Gilbert,KeyError,Brownstone-Diner-Jersey-City
3,Real Deal Fast Food,Marias Taco Express,Austin,Texas,Marias-Taco-Express-Austin,KeyError,39th-Street-Mamas-Kansas-City
3,The Memphis BBQ Tour,Cozy Corner,Memphis,Tennessee,Cozy-Corner-Memphis,KeyError,39th-Street-Mamas-Kansas-City
3,The Memphis BBQ Tour,Leonards BBQ,Memphis,Tennessee,Leonards-BBQ-Memphis,3.5,Matts-Big-Breakfast-Phoenix
3,The Memphis BBQ Tour,Marlowes Ribs,Memphis,Tennessee,Marlowes-Ribs-Memphis,4,Robertos-Mexican-Food-Phoenix
3,The Memphis BBQ Tour,Toms Bar-B-Q,Memphis,Tennessee,Toms-Bar-B-Q-Memphis,3.5,Smokey-Valley-Truck-Stop-Olive-Hill
3,Comfort Food,Grampas Bakery and Restaurant,Dania Beach,Florida,Grampas-Bakery-and-Restaurant-Dania-Beach,3.5,Sweetie-Pies-Saint-Louis
3,Comfort Food,Blue Moon Cafe,Baltimore,Maryland,Blue-Moon-Cafe-Baltimore,3.5,Charlie-Parkers-Springfield
3,Comfort Food,Central City Cafe,Huntington,West Virginia,Central-City-Cafe-Huntington,KeyError,Tecolote-Cafe-Santa-Fe
3,Comfort Food,Tip Top Cafe,San Antonio,Texas,Tip-Top-Cafe-San-Antonio,3.5,Virginia-Diner-Wakefield
3,Where The Locals Go,Matthews Cafeteria,Tucker,Georgia,Matthews-Cafeteria-Tucker,4.5,Thee-Pitts-Again-Glendale
3,Where The Locals Go,The Rivershack Tavern,Jefferson,Louisiana,The-Rivershack-Tavern-Jefferson,4,Iron-Barley-Saint-Louis
3,Where The Locals Go,Monte Carlo Steak House,Albuquerque,New Mexico,Monte-Carlo-Steak-House-Albuquerque,3.5,Iron-Barley-Saint-Louis
3,All Kinds of BBQ,The Joint,New Orleans,Louisiana,The-Joint-New-Orleans,KeyError,Daddypops-Hatboro
3,All Kinds of BBQ,The Shed,Ocean Springs,Mississippi,The-Shed-Ocean-Springs,4,The-Village-Cafe-Richmond
